제품명,가격
FSP HYDRO PTM PRO 1200W Platinum ATX 3.0 (PCIE5),"342,500"
에너맥스 CYBERBRON ECB600AWT 80PLUS BRONZE,"59,050"
시소닉 G12 GOLD GC-850,"134,340"
AONE STORM 600LF 83+ 벌크,"37,550"
에너지옵티머스 EOP-2400,"150,810"
시소닉 G12 GOLD GC-750,"115,000"
AONE STORM 600W 80PLUS BRONZE 벌크,"38,020"
큐닉스 RS-600WF 83plus 정격 600W 벌크,"31,890"
(ICE-MAN) 600AL V2.3 벌크 /파워,"31,360"
시소닉 B12 BRONZE BM-850 Modular,"133,190"
SilverStone HELA 2050R Platinum 마이크로닉스,"705,000"
(SuperFlower) SF-650F14MG II LEADEX GOLD /파워,"132,400"
시소닉 B12 BRONZE BM-750 Modular,"113,960"
앱코 SUITMASTER ULTIMATE 1200W RGB 80PLUS PLATINUM,"196,570"
마이크로닉스 Classic II 풀체인지 700W 80PLUS BRONZE ATX 3.1 (PCIE5.1) 화이트,"81,500"
시소닉 B12 BRONZE BC-850,"124,300"
(HOPELY) 500RW V2.3 /파워,"29,270"
시소닉 B12 BRONZE BC-750,"104,550"
마이크로닉스 WIZMAX 1200W 80PLUS PLATINUM 풀모듈러 ATX 3.0 (PCIE5),"279,000"
(ICE-MAN) 500L V2.2 /파워,"16,300"
델타 GPS-750HB 80PLUS GOLD,"157,100"
마이크로닉스 WIZMAX 1050W 80PLUS PLATINUM 풀모듈러 ATX 3.0 (PCIE5),"232,000"
WEED W600-ORIGIN (정격 300W) 파워,"24,960"
BABEL BM-600VP Double Forward V2.31 Silverbel Series,"37,440"
COX SECURE SC-500N,"30,160"
(BABEL) ECO 620BK V2.3 Blackbel Series /파워,"29,430"
MSI MAG A650GL 80PLUS 골드 풀 모듈러,"83,000"
NEWZEN SKULL 850SM MODULAR ATX 3.0 80PLUS GOLD (PCIE5),"126,100"
PNC PARTNER EVEREST 750W WHITE 80PLUS STANDARD 230V EU 벌크,"57,410"
